title,description,priority
Consider refactoring API rate limiter someday,"Low priority cleanup, no user impact.",low
Improve billing webhook performance,"Should be done this sprint, not blocking anyone yet.",medium
Improve cache layer performance,Would be good to land before the next release.,medium
Clean up unused imports in dashboard chart,"Low priority cleanup, no user impact.",low
Clean up unused imports in email service,"Purely cosmetic, doesn't affect functionality.",low
Cosmetic tweak to CSV importer spacing,"Someday/maybe, not tied to any deadline.",low
"Critical bug in CSV importer, customers are blocked",This is blocking all customers and needs to be fixed immediately.,high
"Security vulnerability found in checkout flow, fix ASAP",This is blocking all customers and needs to be fixed immediately.,high
Minor typo in CSV importer docs,"Purely cosmetic, doesn't affect functionality.",low
Update API rate limiter to handle an edge case,No customers affected yet but worth prioritizing soon.,medium
Investigate flaky test in admin panel,"Should be done this sprint, not blocking anyone yet.",medium
Add validation to API rate limiter,"Should be done this sprint, not blocking anyone yet.",medium
Refactor login page before next release,"Came up in code review, moderate impact.",medium
URGENT: admin panel is down in production,"Revenue-impacting, drop everything else.",high
Clean up unused imports in cache layer,"Purely cosmetic, doesn't affect functionality.",low
Clean up unused imports in login page,"Purely cosmetic, doesn't affect functionality.",low
Cosmetic tweak to checkout flow spacing,"No rush, whenever someone has spare time.",low
dashboard chart outage - needs immediate attention,"On-call was paged, this cannot wait until next sprint.",high
"Security vulnerability found in cache layer, fix ASAP","Revenue-impacting, drop everything else.",high
Improve CSV importer performance,"Should be done this sprint, not blocking anyone yet.",medium
Add validation to email service,Would be good to land before the next release.,medium
Update user profile to handle an edge case,Would be good to land before the next release.,medium
Nice-to-have: dark mode for login page,"No rush, whenever someone has spare time.",low
Update billing webhook to handle an edge case,Would be good to land before the next release.,medium
Add validation to user profile,"Should be done this sprint, not blocking anyone yet.",medium
Update PDF export to handle an edge case,"Came up in code review, moderate impact.",medium
Update cache layer to handle an edge case,Would be good to land before the next release.,medium
Minor typo in search endpoint docs,"No rush, whenever someone has spare time.",low
Clean up unused imports in PDF export,"Someday/maybe, not tied to any deadline.",low
Investigate flaky test in PDF export,Would be good to land before the next release.,medium
Add validation to admin panel,Would be good to land before the next release.,medium
Refactor API rate limiter before next release,"Should be done this sprint, not blocking anyone yet.",medium
"Critical bug in cache layer, customers are blocked","Escalated by support, affects every account on the platform.",high
cache layer outage - needs immediate attention,"Revenue-impacting, drop everything else.",high
"Critical bug in dashboard chart, customers are blocked","Escalated by support, affects every account on the platform.",high
Production incident: admin panel throwing 500s for all users,"Revenue-impacting, drop everything else.",high
Add validation to notification worker,Would be good to land before the next release.,medium
Refactor auth middleware before next release,"Came up in code review, moderate impact.",medium
Cosmetic tweak to database migration spacing,"Purely cosmetic, doesn't affect functionality.",low
Investigate flaky test in user profile,No customers affected yet but worth prioritizing soon.,medium
Update auth middleware to handle an edge case,Would be good to land before the next release.,medium
Consider refactoring admin panel someday,"Low priority cleanup, no user impact.",low
Rename variable in auth middleware,"No rush, whenever someone has spare time.",low
"Data loss risk in billing webhook, must fix today",This is blocking all customers and needs to be fixed immediately.,high
"Data loss risk in login page, must fix today","On-call was paged, this cannot wait until next sprint.",high
login page outage - needs immediate attention,"On-call was paged, this cannot wait until next sprint.",high
URGENT: checkout flow is down in production,"Revenue-impacting, drop everything else.",high
Add validation to checkout flow,Would be good to land before the next release.,medium
Minor typo in database migration docs,"Low priority cleanup, no user impact.",low
URGENT: auth middleware is down in production,"Revenue-impacting, drop everything else.",high
Rename variable in checkout flow,"Low priority cleanup, no user impact.",low
Consider refactoring billing webhook someday,"Purely cosmetic, doesn't affect functionality.",low
Improve API rate limiter performance,Would be good to land before the next release.,medium
"Security vulnerability found in billing webhook, fix ASAP","On-call was paged, this cannot wait until next sprint.",high
dashboard chart needs better error messages,Would be good to land before the next release.,medium
Consider refactoring user profile someday,"No rush, whenever someone has spare time.",low
"Security vulnerability found in search endpoint, fix ASAP",This is blocking all customers and needs to be fixed immediately.,high
"Security vulnerability found in CSV importer, fix ASAP","On-call was paged, this cannot wait until next sprint.",high
Minor typo in auth middleware docs,"Purely cosmetic, doesn't affect functionality.",low
Refactor database migration before next release,"Should be done this sprint, not blocking anyone yet.",medium
checkout flow outage - needs immediate attention,"On-call was paged, this cannot wait until next sprint.",high
Add validation to CSV importer,"Should be done this sprint, not blocking anyone yet.",medium
Production incident: auth middleware throwing 500s for all users,This is blocking all customers and needs to be fixed immediately.,high
Refactor cache layer before next release,No customers affected yet but worth prioritizing soon.,medium
Refactor user profile before next release,No customers affected yet but worth prioritizing soon.,medium
Improve search endpoint performance,Would be good to land before the next release.,medium
Production incident: notification worker throwing 500s for all users,"Revenue-impacting, drop everything else.",high
Rename variable in admin panel,"Purely cosmetic, doesn't affect functionality.",low
URGENT: billing webhook is down in production,"Escalated by support, affects every account on the platform.",high
Investigate flaky test in dashboard chart,Would be good to land before the next release.,medium
"Data loss risk in dashboard chart, must fix today","On-call was paged, this cannot wait until next sprint.",high
"Security vulnerability found in dashboard chart, fix ASAP",This is blocking all customers and needs to be fixed immediately.,high
Update search endpoint to handle an edge case,"Came up in code review, moderate impact.",medium
"Critical bug in email service, customers are blocked","Escalated by support, affects every account on the platform.",high
Add validation to auth middleware,"Came up in code review, moderate impact.",medium
URGENT: API rate limiter is down in production,"Revenue-impacting, drop everything else.",high
database migration outage - needs immediate attention,"Revenue-impacting, drop everything else.",high
Nice-to-have: dark mode for billing webhook,"Low priority cleanup, no user impact.",low
Consider refactoring search endpoint someday,"Someday/maybe, not tied to any deadline.",low
Nice-to-have: dark mode for user profile,"Someday/maybe, not tied to any deadline.",low
Cosmetic tweak to user profile spacing,"No rush, whenever someone has spare time.",low
database migration needs better error messages,"Should be done this sprint, not blocking anyone yet.",medium
URGENT: dashboard chart is down in production,"Revenue-impacting, drop everything else.",high
Improve admin panel performance,"Should be done this sprint, not blocking anyone yet.",medium
Production incident: checkout flow throwing 500s for all users,"Revenue-impacting, drop everything else.",high
"Data loss risk in search endpoint, must fix today","On-call was paged, this cannot wait until next sprint.",high
Nice-to-have: dark mode for dashboard chart,"Low priority cleanup, no user impact.",low
Refactor admin panel before next release,No customers affected yet but worth prioritizing soon.,medium
Update notification worker to handle an edge case,"Came up in code review, moderate impact.",medium
Investigate flaky test in auth middleware,"Came up in code review, moderate impact.",medium
Improve checkout flow performance,No customers affected yet but worth prioritizing soon.,medium
Consider refactoring login page someday,"Low priority cleanup, no user impact.",low
Investigate flaky test in CSV importer,Would be good to land before the next release.,medium
"Security vulnerability found in database migration, fix ASAP","Revenue-impacting, drop everything else.",high
"Security vulnerability found in PDF export, fix ASAP","On-call was paged, this cannot wait until next sprint.",high
Consider refactoring PDF export someday,"Low priority cleanup, no user impact.",low
Consider refactoring notification worker someday,"Purely cosmetic, doesn't affect functionality.",low
auth middleware outage - needs immediate attention,This is blocking all customers and needs to be fixed immediately.,high
Update admin panel to handle an edge case,No customers affected yet but worth prioritizing soon.,medium
billing webhook outage - needs immediate attention,This is blocking all customers and needs to be fixed immediately.,high
Production incident: dashboard chart throwing 500s for all users,"Escalated by support, affects every account on the platform.",high
Minor typo in checkout flow docs,"No rush, whenever someone has spare time.",low
Production incident: database migration throwing 500s for all users,"On-call was paged, this cannot wait until next sprint.",high
Consider refactoring cache layer someday,"No rush, whenever someone has spare time.",low
Production incident: PDF export throwing 500s for all users,"Revenue-impacting, drop everything else.",high
"Critical bug in database migration, customers are blocked","Escalated by support, affects every account on the platform.",high
Improve database migration performance,No customers affected yet but worth prioritizing soon.,medium
Nice-to-have: dark mode for API rate limiter,"Low priority cleanup, no user impact.",low
Cosmetic tweak to cache layer spacing,"No rush, whenever someone has spare time.",low
Add validation to billing webhook,"Came up in code review, moderate impact.",medium
CSV importer needs better error messages,No customers affected yet but worth prioritizing soon.,medium
Investigate flaky test in cache layer,Would be good to land before the next release.,medium
Update CSV importer to handle an edge case,No customers affected yet but worth prioritizing soon.,medium
Investigate flaky test in email service,No customers affected yet but worth prioritizing soon.,medium
Rename variable in API rate limiter,"Purely cosmetic, doesn't affect functionality.",low
Refactor search endpoint before next release,"Should be done this sprint, not blocking anyone yet.",medium
"Security vulnerability found in auth middleware, fix ASAP",This is blocking all customers and needs to be fixed immediately.,high
"Data loss risk in CSV importer, must fix today","On-call was paged, this cannot wait until next sprint.",high
Add validation to cache layer,"Should be done this sprint, not blocking anyone yet.",medium
Refactor dashboard chart before next release,"Came up in code review, moderate impact.",medium
Consider refactoring dashboard chart someday,"Someday/maybe, not tied to any deadline.",low
user profile outage - needs immediate attention,"Revenue-impacting, drop everything else.",high
notification worker outage - needs immediate attention,This is blocking all customers and needs to be fixed immediately.,high
"Critical bug in notification worker, customers are blocked",This is blocking all customers and needs to be fixed immediately.,high
Production incident: CSV importer throwing 500s for all users,This is blocking all customers and needs to be fixed immediately.,high
Production incident: cache layer throwing 500s for all users,This is blocking all customers and needs to be fixed immediately.,high
Rename variable in notification worker,"Low priority cleanup, no user impact.",low
Rename variable in email service,"Purely cosmetic, doesn't affect functionality.",low
Investigate flaky test in checkout flow,"Should be done this sprint, not blocking anyone yet.",medium
Add validation to login page,"Should be done this sprint, not blocking anyone yet.",medium
Rename variable in CSV importer,"Someday/maybe, not tied to any deadline.",low
Investigate flaky test in billing webhook,"Came up in code review, moderate impact.",medium
Add validation to PDF export,"Came up in code review, moderate impact.",medium
Production incident: billing webhook throwing 500s for all users,"On-call was paged, this cannot wait until next sprint.",high
Investigate flaky test in database migration,"Should be done this sprint, not blocking anyone yet.",medium
"Data loss risk in PDF export, must fix today","On-call was paged, this cannot wait until next sprint.",high
Cosmetic tweak to login page spacing,"Purely cosmetic, doesn't affect functionality.",low
Cosmetic tweak to email service spacing,"Someday/maybe, not tied to any deadline.",low
Rename variable in dashboard chart,"Purely cosmetic, doesn't affect functionality.",low
Rename variable in search endpoint,"Someday/maybe, not tied to any deadline.",low
Minor typo in API rate limiter docs,"No rush, whenever someone has spare time.",low
Improve PDF export performance,Would be good to land before the next release.,medium
Minor typo in notification worker docs,"Purely cosmetic, doesn't affect functionality.",low
email service outage - needs immediate attention,"On-call was paged, this cannot wait until next sprint.",high
Production incident: email service throwing 500s for all users,"Escalated by support, affects every account on the platform.",high
Consider refactoring auth middleware someday,"Low priority cleanup, no user impact.",low
Cosmetic tweak to dashboard chart spacing,"Purely cosmetic, doesn't affect functionality.",low
user profile needs better error messages,Would be good to land before the next release.,medium
Clean up unused imports in API rate limiter,"Someday/maybe, not tied to any deadline.",low
"Security vulnerability found in email service, fix ASAP","Escalated by support, affects every account on the platform.",high
Rename variable in user profile,"Purely cosmetic, doesn't affect functionality.",low
Add validation to database migration,Would be good to land before the next release.,medium
Add validation to search endpoint,"Came up in code review, moderate impact.",medium
checkout flow needs better error messages,No customers affected yet but worth prioritizing soon.,medium
Cosmetic tweak to PDF export spacing,"Low priority cleanup, no user impact.",low
Production incident: API rate limiter throwing 500s for all users,"Escalated by support, affects every account on the platform.",high
Nice-to-have: dark mode for admin panel,"Someday/maybe, not tied to any deadline.",low
auth middleware needs better error messages,"Came up in code review, moderate impact.",medium
PDF export needs better error messages,"Came up in code review, moderate impact.",medium
Nice-to-have: dark mode for notification worker,"Someday/maybe, not tied to any deadline.",low
Refactor CSV importer before next release,"Came up in code review, moderate impact.",medium
Refactor notification worker before next release,Would be good to land before the next release.,medium
Clean up unused imports in notification worker,"Low priority cleanup, no user impact.",low
Improve login page performance,"Should be done this sprint, not blocking anyone yet.",medium
Clean up unused imports in search endpoint,"Someday/maybe, not tied to any deadline.",low
API rate limiter needs better error messages,Would be good to land before the next release.,medium
CSV importer outage - needs immediate attention,"Revenue-impacting, drop everything else.",high
Improve email service performance,Would be good to land before the next release.,medium
API rate limiter outage - needs immediate attention,This is blocking all customers and needs to be fixed immediately.,high
Investigate flaky test in notification worker,Would be good to land before the next release.,medium
Nice-to-have: dark mode for cache layer,"No rush, whenever someone has spare time.",low
"Data loss risk in admin panel, must fix today",This is blocking all customers and needs to be fixed immediately.,high
"Critical bug in admin panel, customers are blocked","Escalated by support, affects every account on the platform.",high
"Critical bug in auth middleware, customers are blocked",This is blocking all customers and needs to be fixed immediately.,high
URGENT: search endpoint is down in production,"On-call was paged, this cannot wait until next sprint.",high
Refactor checkout flow before next release,Would be good to land before the next release.,medium
Refactor PDF export before next release,Would be good to land before the next release.,medium
email service needs better error messages,"Came up in code review, moderate impact.",medium
Rename variable in PDF export,"No rush, whenever someone has spare time.",low
Clean up unused imports in admin panel,"Purely cosmetic, doesn't affect functionality.",low
"Critical bug in search endpoint, customers are blocked","Revenue-impacting, drop everything else.",high
Cosmetic tweak to auth middleware spacing,"Someday/maybe, not tied to any deadline.",low
"Data loss risk in auth middleware, must fix today","On-call was paged, this cannot wait until next sprint.",high
search endpoint outage - needs immediate attention,This is blocking all customers and needs to be fixed immediately.,high
Improve dashboard chart performance,"Came up in code review, moderate impact.",medium
Update login page to handle an edge case,"Should be done this sprint, not blocking anyone yet.",medium
Nice-to-have: dark mode for checkout flow,"Someday/maybe, not tied to any deadline.",low
"Security vulnerability found in user profile, fix ASAP","On-call was paged, this cannot wait until next sprint.",high
"Critical bug in API rate limiter, customers are blocked",This is blocking all customers and needs to be fixed immediately.,high
URGENT: CSV importer is down in production,This is blocking all customers and needs to be fixed immediately.,high
"Data loss risk in cache layer, must fix today","On-call was paged, this cannot wait until next sprint.",high
Production incident: search endpoint throwing 500s for all users,This is blocking all customers and needs to be fixed immediately.,high
Clean up unused imports in auth middleware,"No rush, whenever someone has spare time.",low
login page needs better error messages,"Should be done this sprint, not blocking anyone yet.",medium
admin panel needs better error messages,Would be good to land before the next release.,medium
"Security vulnerability found in API rate limiter, fix ASAP","Revenue-impacting, drop everything else.",high
Nice-to-have: dark mode for PDF export,"Low priority cleanup, no user impact.",low
Update database migration to handle an edge case,No customers affected yet but worth prioritizing soon.,medium
"Critical bug in checkout flow, customers are blocked","Escalated by support, affects every account on the platform.",high
Update checkout flow to handle an edge case,"Should be done this sprint, not blocking anyone yet.",medium
"Security vulnerability found in login page, fix ASAP","Escalated by support, affects every account on the platform.",high
Cosmetic tweak to billing webhook spacing,"Someday/maybe, not tied to any deadline.",low
"Critical bug in user profile, customers are blocked","Revenue-impacting, drop everything else.",high
URGENT: notification worker is down in production,"Revenue-impacting, drop everything else.",high
Clean up unused imports in billing webhook,"Purely cosmetic, doesn't affect functionality.",low
"Data loss risk in user profile, must fix today","Escalated by support, affects every account on the platform.",high
notification worker needs better error messages,Would be good to land before the next release.,medium
"Data loss risk in API rate limiter, must fix today","Escalated by support, affects every account on the platform.",high
Minor typo in email service docs,"Someday/maybe, not tied to any deadline.",low
"Critical bug in PDF export, customers are blocked",This is blocking all customers and needs to be fixed immediately.,high
Clean up unused imports in checkout flow,"Someday/maybe, not tied to any deadline.",low
Cosmetic tweak to notification worker spacing,"No rush, whenever someone has spare time.",low
Minor typo in dashboard chart docs,"Someday/maybe, not tied to any deadline.",low
URGENT: login page is down in production,This is blocking all customers and needs to be fixed immediately.,high
Investigate flaky test in login page,"Should be done this sprint, not blocking anyone yet.",medium
Consider refactoring email service someday,"No rush, whenever someone has spare time.",low
Nice-to-have: dark mode for auth middleware,"Low priority cleanup, no user impact.",low
URGENT: user profile is down in production,"Escalated by support, affects every account on the platform.",high
URGENT: PDF export is down in production,"Escalated by support, affects every account on the platform.",high
"Data loss risk in checkout flow, must fix today","Escalated by support, affects every account on the platform.",high
Minor typo in login page docs,"Purely cosmetic, doesn't affect functionality.",low
URGENT: database migration is down in production,"Revenue-impacting, drop everything else.",high
Consider refactoring database migration someday,"No rush, whenever someone has spare time.",low
Clean up unused imports in database migration,"No rush, whenever someone has spare time.",low
Update email service to handle an edge case,"Came up in code review, moderate impact.",medium
Consider refactoring CSV importer someday,"Purely cosmetic, doesn't affect functionality.",low
Minor typo in admin panel docs,"Someday/maybe, not tied to any deadline.",low
Nice-to-have: dark mode for search endpoint,"No rush, whenever someone has spare time.",low
Minor typo in PDF export docs,"No rush, whenever someone has spare time.",low
Cosmetic tweak to search endpoint spacing,"No rush, whenever someone has spare time.",low
URGENT: cache layer is down in production,"Revenue-impacting, drop everything else.",high
Minor typo in billing webhook docs,"Someday/maybe, not tied to any deadline.",low
Add validation to dashboard chart,"Came up in code review, moderate impact.",medium
URGENT: email service is down in production,"On-call was paged, this cannot wait until next sprint.",high
"Data loss risk in email service, must fix today",This is blocking all customers and needs to be fixed immediately.,high
billing webhook needs better error messages,Would be good to land before the next release.,medium
Nice-to-have: dark mode for email service,"No rush, whenever someone has spare time.",low
Cosmetic tweak to API rate limiter spacing,"Someday/maybe, not tied to any deadline.",low
cache layer needs better error messages,"Should be done this sprint, not blocking anyone yet.",medium
Production incident: login page throwing 500s for all users,"On-call was paged, this cannot wait until next sprint.",high
